name,value,values
Q8Planafterschool_10,Q8Planafterschool_10 = No choices are available to me,Yes; No; 7; 9
Q10Barriers,Q10Barriers = Feel they have barriers that prevent them from achieving work/study goals,Yes; No
Q10aBarriers_1,Q10aBarriers_1 = Academic ability,Yes; No
Q10aBarriers_2,Q10aBarriers_2 = Admission/job requirements,Yes; No
Q10aBarriers_3,Q10aBarriers_3 = COVID-19,Yes; No
Q10aBarriers_4,Q10aBarriers_4 = Cultural responsibilities,Yes; No
Q10aBarriers_5,Q10aBarriers_5 = Discrimination,Yes; No
Q10aBarriers_6,Q10aBarriers_6 = Family responsibilities,Yes; No
Q10aBarriers_7,Q10aBarriers_7 = Financial difficulty,Yes; No
Q10aBarriers_8,Q10aBarriers_8 = Lack of family support,Yes; No
Q10aBarriers_9,Q10aBarriers_9 = Lack of information,Yes; No
Q10aBarriers_10,Q10aBarriers_10 = Lack of jobs,Yes; No
Q10aBarriers_11,Q10aBarriers_11 = Lack of school support,Yes; No
Q10aBarriers_12,Q10aBarriers_12 = Mental health,Yes; No
Q10aBarriers_13,Q10aBarriers_13 = Physical health,Yes; No
Q10aBarriers_14,Q10aBarriers_14 = Transport,Yes; No
Q10aBarriers_15,Q10aBarriers_15 = Where you live,Yes; No
Q10aBarriers_16,Q10aBarriers_16 = Physical or mental health,Yes; No
Q10aBarriers_17,Q10aBarriers_17 = Other,Yes; No
Q29DiscriminationMe,Q29DiscriminationMe = Experienced unfair treatment in the last year,Yes; No
Q30Unfairtreatment_1,Q30Unfairtreatment_1 = Age (reason for discrimination),Yes; No
Q30Unfairtreatment_2,Q30Unfairtreatment_2 = Disability (reason for discrimination),Yes; No
Q30Unfairtreatment_3,Q30Unfairtreatment_3 = Financial background (reason for discrimination),Yes; No
Q30Unfairtreatment_4,Q30Unfairtreatment_4 = Gender (reason for discrimination),Yes; No
Q30Unfairtreatment_5,Q30Unfairtreatment_5 = Mental health (reason for discrimination),Yes; No
Q30Unfairtreatment_6,Q30Unfairtreatment_6 = Race (reason for discrimination),Yes; No
Q30Unfairtreatment_7,Q30Unfairtreatment_7 = Religion (reason for discrimination),Yes; No
Q30Unfairtreatment_8,Q30Unfairtreatment_8 = Sexuality (reason for discrimination),Yes; No
Q30Unfairtreatment_9,Q30Unfairtreatment_9 = Other (reason for discrimination),Yes; No
weight_final_1,Weight for rebased targets for = GENDER + STATE + SEIFA,NA
Q25Feel_1,Q25Feel_1. K6 Sad,All of the time; Most of the time; Some of the time; A little of the time; None of the time
Q25Feel_2,Q25Feel_2. K6 Nervous,All of the time; Most of the time; Some of the time; A little of the time; None of the time
Q25Feel_3,Q25Feel_3. K6 Restless,All of the time; Most of the time; Some of the time; A little of the time; None of the time
Q25Feel_4,Q25Feel_4. K6 Hopeless,All of the time; Most of the time; Some of the time; A little of the time; None of the time
Q25Feel_5,Q25Feel_5. K6 Effort,All of the time; Most of the time; Some of the time; A little of the time; None of the time
Q25Feel_6,Q25Feel_6. K6 Worthless,All of the time; Most of the time; Some of the time; A little of the time; None of the time
Q25K6SUM,Q25K6SUM. K6 Sum,NA
